DATE,A191RP1A027NBEA
01-01-1930,-11.9
01-01-1931,-16
01-01-1932,-23.1
01-01-1933,-4
01-01-1934,16.9
01-01-1935,11.1
01-01-1936,14.3
01-01-1937,9.6
01-01-1938,-6.1
01-01-1939,7
01-01-1940,10.1
01-01-1941,25.7
01-01-1942,28.3
01-01-1943,22.4
01-01-1944,10.5
01-01-1945,1.6
01-01-1946,-0.2
01-01-1947,9.7
01-01-1948,10
01-01-1949,-0.7
01-01-1950,10
01-01-1951,15.7
01-01-1952,5.9
01-01-1953,6
01-01-1954,0.3
01-01-1955,8.9
01-01-1956,5.6
01-01-1957,5.5
01-01-1958,1.5
01-01-1959,8.4
01-01-1960,4
01-01-1961,3.7
01-01-1962,7.4
01-01-1963,5.6
01-01-1964,7.4
01-01-1965,8.4
01-01-1966,9.6
01-01-1967,5.7
01-01-1968,9.4
01-01-1969,8.2
01-01-1970,5.5
01-01-1971,8.5
01-01-1972,9.8
01-01-1973,11.4
01-01-1974,8.4
01-01-1975,9
01-01-1976,11.2
01-01-1977,11.1
01-01-1978,13
01-01-1979,11.7
01-01-1980,8.8
01-01-1981,12.2
01-01-1982,4.3
01-01-1983,8.7
01-01-1984,11.1
01-01-1985,7.5
01-01-1986,5.5
01-01-1987,6
01-01-1988,7.9
01-01-1989,7.7
01-01-1990,5.7
01-01-1991,3.3
01-01-1992,5.9
01-01-1993,5.2
01-01-1994,6.3
01-01-1995,4.8
01-01-1996,5.7
01-01-1997,6.2
01-01-1998,5.7
01-01-1999,6.3
01-01-2000,6.4
01-01-2001,3.2
01-01-2002,3.3
01-01-2003,4.8
01-01-2004,6.6
01-01-2005,6.7
01-01-2006,6
01-01-2007,4.8
01-01-2008,2
01-01-2009,-2
01-01-2010,3.9
01-01-2011,3.7
01-01-2012,4.2
01-01-2013,3.6
01-01-2014,4.2
01-01-2015,3.7
01-01-2016,2.7
01-01-2017,4.2
01-01-2018,5.4
01-01-2019,4.1
01-01-2020,-1.5
01-01-2021,10.7
01-01-2022,9.2
