Date,Los Angeles,San Diego,Orange,Riverside,San Bernardino,Santa Clara,Alameda,Sacramento,Contra-Costa,Fresno
1990-01-01,215338.0,180484.0,231274.0,136832.0,128806.0,271840.0,226149.0,123000.0,,82083.0
1990-02-01,208399.0,180714.0,233656.0,136021.0,124545.0,273100.0,219306.0,126900.0,,87187.0
1990-03-01,208135.0,183701.0,242312.0,135835.0,127017.0,275500.0,225162.0,127500.0,,83889.0
1990-04-01,219004.0,181567.0,239380.0,134629.0,131485.0,274660.0,229333.0,135500.0,,85428.0
1990-05-01,209065.0,180794.0,256401.0,140823.0,130538.0,266670.0,232291.0,138000.0,,88749.0
1990-06-01,210606.0,186733.0,244364.0,139952.0,130769.0,276960.0,231250.0,142000.0,,87999.0
1990-07-01,225251.0,185861.0,236109.0,143127.0,131481.0,273600.0,232916.0,145000.0,,91346.0
1990-08-01,213478.0,185639.0,234908.0,143827.0,129601.0,273340.0,228467.0,142000.0,,95178.0
1990-09-01,211552.0,186272.0,226250.0,144070.0,126497.0,258060.0,225000.0,139000.0,,92500.0
1990-10-01,207801.0,179444.0,229612.0,139775.0,126666.0,253470.0,221093.0,136700.0,,96891.0
1990-11-01,202717.0,176980.0,227481.0,141311.0,133596.0,257450.0,226126.0,135500.0,,96052.0
1990-12-01,212855.0,181470.0,228532.0,139513.0,127787.0,254720.0,218161.0,130000.0,,87682.0
1991-01-01,197706.0,182000.0,226793.0,137571.0,131428.0,247250.0,216532.0,130700.0,,97856.0
1991-02-01,199157.0,178888.0,226398.0,134639.0,130000.0,243870.0,222896.0,131000.0,,96666.0
1991-03-01,207940.0,183111.0,234877.0,137607.0,134416.0,248560.0,221768.0,137000.0,,91364.0
1991-04-01,213442.0,183114.0,235078.0,134524.0,133377.0,262460.0,233192.0,140000.0,,92500.0
1991-05-01,218892.0,188732.0,240532.0,139903.0,134810.0,268780.0,239885.0,139000.0,,98939.0
1991-06-01,224055.0,188509.0,237573.0,141512.0,132513.0,277450.0,229129.0,136800.0,,97023.0
1991-07-01,230028.0,190000.0,237555.0,145495.0,140294.0,268200.0,234042.0,140000.0,,100233.0
1991-08-01,220858.0,198522.0,236437.0,147167.0,132409.0,267250.0,231551.0,139900.0,,98408.0
1991-09-01,231449.0,181046.0,235668.0,150449.0,135063.0,251220.0,224811.0,135000.0,,98973.0
1991-10-01,209256.0,183088.0,229203.0,143245.0,137631.0,250000.0,221656.0,135000.0,,103695.0
1991-11-01,202237.0,181639.0,234984.0,147576.0,132325.0,245980.0,221098.0,130000.0,,97499.0
